euk001; Eukanuba Puppy Small Breed;1;79.5;128.75; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk002; Eukanuba Puppy Small Breed;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk003; Eukanuba Puppy Small Breed;7.5;461.24;750.87; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk004; Eukanuba Puppy Small Breed;15;885.19;1434.79; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk005;Eukanuba Puppy Medium Breed;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk006;Eukanuba Puppy Medium Breed;15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk007;Eukanuba Puppy Large Breed;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk008;Eukanuba Puppy Large Breed;15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk009;Eukanuba Adult Maintenance Small Breed;1;73.61;119.48; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk010;Eukanuba Adult Maintenance Small Breed;3;196.8;320.33; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk011;Eukanuba Adult Maintenance Small Breed;7.5;439.28;405.82; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk012;Eukanuba Adult Maintenance Small Breed;15;825.83;1339; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk013;Eukanuba Adult Maintenance Medium Breed;3;196.8;320.33; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk014;Eukanuba Adult Maintenance Medium Breed;15;651.31;1055.75; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk015;Eukanuba Adult Maintenance Large Breed;3;79.5;128.75; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk016;Eukanuba Adult Maintenance Large Breed;15;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk017;Eukanuba Adult Weight Control Small B. (Light);3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk018;Eukanuba Adult Weight Control Small B. (Light);15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk019;Eukanuba Adult Weight Control Large B. (Light);3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk020;Eukanuba Adult Weight Control Large B. (Light);15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk021;Eukanuba Premium Perfomance;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk022;Eukanuba Premium Perfomance;15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk023;Eukanuba Adult Senior Small B.;1;79.5;128.75; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk024;Eukanuba Adult Senior Small B.;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk025;Eukanuba Adult Senior Medium B.;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk026;Eukanuba Adult Senior Medium B.;15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk027;Eukanuba Adult Senior Large B.;3;210.57;341.96; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk028;Eukanuba Adult Senior Large B.;15;711.42;1153.6; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk029; Iams Puppy  Small & Medium Breed;2;113.36;184.37; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk030; Iams Puppy  Small & Medium Breed;15;543;846.66; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk031;Iams Puppy Large & Giant Breed;2;113.36;184.37; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk032;Iams Puppy Large & Giant Breed;15;543;846.66; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk033;Iams Adult Small & Medium Breed;2;104.96;170.98; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk034;Iams Adult Small & Medium Breed;15;512.37;798.25; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk035;Iams Adult Large & Giant Breed;15;512.37;798.25; EUKANUBA ; Alimentos ; Caninos ; JOSMAYO S.A. 
euk036;Iams Kitten;1;107.24;175.1; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk037;Iams Kitten;3;286.2;465.56; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk038;Iams Cat Chicken  ;1;102.13;166.86; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk039;Iams Cat Chicken  ;3;272.57;443.93; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk040;Iams Cat Chicken  ;15;1010.18;1636.67; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk041;Iams Cat Light;1;107.24;175.1; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
euk042;Iams Cat Light;3;286.2;465.56; EUKANUBA ; Alimentos ; Felinos ; JOSMAYO S.A. 
